Source,Technology,Factor_Type,Job_Type,Unit,Year,Value,Value_Numeric,Method_Applied,Mapped_Rutovitz_Tech,Rutovitz_2030_Factor,Mapped_Catalogue_Tech,Learning_Rate,Projection_Input,Base_Year,Projected_Year,Projected_Value
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2024,4.44,4.44,Original,,,,,,2024,2024,4.44
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2030,2.682829549957074,2.68282954996,CAPEX/OPEX ratio projection,,,Small-scale Lithium-ion,,CAPEX 2030/2024=0.6042408896299716,2024,2030,2.68282954996
Rutovitz 2025,Battery storage (distributed),Construction,Direct,job-yr/MW,2050,1.918010559827249,1.91801055983,CAPEX/OPEX ratio projection,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2050,1.91801055983
Rutovitz 2025,Battery storage (distributed),Manufacturing,Direct,job-yr/MW,2024,0.31,0.31,Original,,,,,,2024,2024,0.31
Rutovitz 2025,Battery storage (distributed),Manufacturing,Direct,job-yr/MW,2030,0.18731467578529118,0.187314675785,CAPEX/OPEX ratio projection,,,Small-scale Lithium-ion,,CAPEX 2030/2024=0.6042408896299716,2024,2030,0.187314675785
Rutovitz 2025,Battery storage (distributed),Manufacturing,Direct,job-yr/MW,2050,0.13391515169965026,0.1339151517,CAPEX/OPEX ratio projection,,,Small-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2050,0.1339151517
Rutovitz 2025,Battery storage (distributed),O&M,Direct,job/MW,2024,0.23,0.23,Original,,,,,,2024,2024,0.23
Rutovitz 2025,Battery storage (distributed),O&M,Direct,job/MW,2030,0.1660541925295737,0.16605419253,CAPEX/OPEX ratio projection,,,Small-scale Lithium-ion,,OPEX 2030/2024=0.7219747501285814,2024,2030,0.16605419253
Rutovitz 2025,Battery storage (distributed),O&M,Direct,job/MW,2050,0.1330012350552935,0.133001235055,CAPEX/OPEX ratio projection,,,Small-scale Lithium-ion,,OPEX 2050/2030=0.8009507801593531,2030,2050,0.133001235055
Rutovitz 2025,Battery storage (grid),Construction,Direct,job-yr/MW,2024,0.53,0.53,Original,,,,,,2024,2024,0.53
Rutovitz 2025,Battery storage (grid),Construction,Direct,job-yr/MW,2030,0.32024767150388495,0.320247671504,CAPEX/OPEX ratio projection,,,Utility-scale Lithium-ion,,CAPEX 2030/2024=0.6042408896299716,2024,2030,0.320247671504
Rutovitz 2025,Battery storage (grid),Construction,Direct,job-yr/MW,2050,0.22895171097036982,0.22895171097,CAPEX/OPEX ratio projection,,,Utility-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2050,0.22895171097
Rutovitz 2025,Battery storage (grid),Manufacturing,Direct,job-yr/MW,2024,0.31,0.31,Original,,,,,,2024,2024,0.31
Rutovitz 2025,Battery storage (grid),Manufacturing,Direct,job-yr/MW,2030,0.18731467578529118,0.187314675785,CAPEX/OPEX ratio projection,,,Utility-scale Lithium-ion,,CAPEX 2030/2024=0.6042408896299716,2024,2030,0.187314675785
Rutovitz 2025,Battery storage (grid),Manufacturing,Direct,job-yr/MW,2050,0.13391515169965026,0.1339151517,CAPEX/OPEX ratio projection,,,Utility-scale Lithium-ion,,CAPEX 2050/2030=0.7149207670900813,2030,2050,0.1339151517
Rutovitz 2025,Battery storage (grid),O&M,Direct,job/MW,2024,0.03,0.03,Original,,,,,,2024,2024,0.03
Rutovitz 2025,Battery storage (grid),O&M,Direct,job/MW,2030,0.02165924250385744,0.0216592425039,CAPEX/OPEX ratio projection,,,Utility-scale Lithium-ion,,OPEX 2030/2024=0.7219747501285814,2024,2030,0.0216592425039
Rutovitz 2025,Battery storage (grid),O&M,Direct,job/MW,2050,0.01734798718112524,0.0173479871811,CAPEX/OPEX ratio projection,,,Utility-scale Lithium-ion,,OPEX 2050/2030=0.8009507801593532,2030,2050,0.0173479871811
Rutovitz 2015,Biomass power,Construction,Direct,job-yr/MW,2015,14,14,Original,,,,,,2015,2015,14
Rutovitz 2015,Biomass power,Construction,Direct,job-yr/MW,2030,13.58,13.58,Rutovitz Table 9 decline to 2030,Biomass,0.97,,,Rutovitz Table 9 Latin America 2030,2015,2030,13.58
Rutovitz 2015,Biomass power,Construction,Direct,job-yr/MW,2050,12.771580865949892,12.7715808659,CAPEX/OPEX ratio projection,Biomass,,Biomass power plant,,CAPEX 2050/2030=0.940469872308534,2030,2050,12.7715808659
I-JEDI,Biomass power,Construction&Manufacturing,Direct,job-yr/MW,2024,22.523,22.523,Original,,,,,,2024,2024,22.523
I-JEDI,Biomass power,Construction&Manufacturing,Direct,job-yr/MW,2030,21.667536154895323,21.6675361549,CAPEX/OPEX ratio projection,,,Biomass power plant,,CAPEX 2030/2024=0.96201821049129,2024,2030,21.6675361549
I-JEDI,Biomass power,Construction&Manufacturing,Direct,job-yr/MW,2050,20.37766496083495,20.3776649608,CAPEX/OPEX ratio projection,,,Biomass power plant,,CAPEX 2050/2030=0.940469872308534,2030,2050,20.3776649608
I-JEDI,Biomass power,Construction&Manufacturing,Indirect,job-yr/MW,2024,12.506,12.506,Original,,,,,,2024,2024,12.506
I-JEDI,Biomass power,Construction&Manufacturing,Indirect,job-yr/MW,2030,12.030999740404074,12.0309997404,CAPEX/OPEX ratio projection,,,Biomass power plant,,CAPEX 2030/2024=0.96201821049129,2024,2030,12.0309997404
I-JEDI,Biomass power,Construction&Manufacturing,Indirect,job-yr/MW,2050,11.314792789601825,11.3147927896,CAPEX/OPEX ratio projection,,,Biomass power plant,,CAPEX 2050/2030=0.940469872308534,2030,2050,11.3147927896
I-JEDI,Biomass power,Construction&Manufacturing,Induced,job-yr/MW,2024,16.497,16.497,Original,,,,,,2024,2024,16.497
I-JEDI,Biomass power,Construction&Manufacturing,Induced,job-yr/MW,2030,15.87041441847481,15.8704144185,CAPEX/OPEX ratio projection,,,Biomass power plant,,CAPEX 2030/2024=0.96201821049129,2024,2030,15.8704144185
I-JEDI,Biomass power,Construction&Manufacturing,Induced,job-yr/MW,2050,14.925646621626521,14.9256466216,CAPEX/OPEX ratio projection,,,Biomass power plant,,CAPEX 2050/2030=0.940469872308534,2030,2050,14.9256466216
Rutovitz 2015,Biomass power,Fuel,Fuel,job/PJ,2015,81.1 jobs/PJ,81.1,Original,,,,,,2015,2015,81.1
Rutovitz 2015,Biomass power,Manufacturing,Direct,job-yr/MW,2015,2.9,2.9,Original,,,,,,2015,2015,2.9
Rutovitz 2015,Biomass power,Manufacturing,Direct,job-yr/MW,2030,2.8129999999999997,2.813,Rutovitz Table 9 decline to 2030,Biomass,0.97,,,Rutovitz Table 9 Latin America 2030,2015,2030,2.813
Rutovitz 2015,Biomass power,Manufacturing,Direct,job-yr/MW,2050,2.645541750803906,2.6455417508,CAPEX/OPEX ratio projection,Biomass,,Biomass power plant,,CAPEX 2050/2030=0.940469872308534,2030,2050,2.6455417508
I-JEDI,Biomass power,O&M,Direct,job/MW,2024,2.406,2.406,Original,,,,,,2024,2024,2.406
I-JEDI,Biomass power,O&M,Direct,job/MW,2030,2.314833607907743,2.31483360791,CAPEX/OPEX ratio projection,,,Biomass power plant,,OPEX 2030/2024=0.9621087314662272,2024,2030,2.31483360791
I-JEDI,Biomass power,O&M,Direct,job/MW,2050,2.1761021416803956,2.17610214168,CAPEX/OPEX ratio projection,,,Biomass power plant,,OPEX 2050/2030=0.940068493150685,2030,2050,2.17610214168
Rutovitz 2015,Biomass power,O&M,Direct,job/MW,2015,1.5,1.5,Original,,,,,,2015,2015,1.5
Rutovitz 2015,Biomass power,O&M,Direct,job/MW,2030,1.455,1.455,Rutovitz Table 9 decline to 2030,Biomass,0.97,,,Rutovitz Table 9 Latin America 2030,2015,2030,1.455
Rutovitz 2015,Biomass power,O&M,Direct,job/MW,2050,1.3677996575342466,1.36779965753,CAPEX/OPEX ratio projection,Biomass,,Biomass power plant,,OPEX 2050/2030=0.940068493150685,2030,2050,1.36779965753
I-JEDI,Biomass power,O&M,Indirect,job/MW,2024,1.477,1.477,Original,,,,,,2024,2024,1.477
I-JEDI,Biomass power,O&M,Indirect,job/MW,2030,1.4210345963756177,1.42103459638,CAPEX/OPEX ratio projection,,,Biomass power plant,,OPEX 2030/2024=0.9621087314662272,2024,2030,1.42103459638
I-JEDI,Biomass power,O&M,Indirect,job/MW,2050,1.3358698517298186,1.33586985173,CAPEX/OPEX ratio projection,,,Biomass power plant,,OPEX 2050/2030=0.940068493150685,2030,2050,1.33586985173
I-JEDI,Biomass power,O&M,Induced,job/MW,2024,1.672,1.672,Original,,,,,,2024,2024,1.672
I-JEDI,Biomass power,O&M,Induced,job/MW,2030,1.608645799011532,1.60864579901,CAPEX/OPEX ratio projection,,,Biomass power plant,,OPEX 2030/2024=0.9621087314662272,2024,2030,1.60864579901
I-JEDI,Biomass power,O&M,Induced,job/MW,2050,1.5122372322899504,1.51223723229,CAPEX/OPEX ratio projection,,,Biomass power plant,,OPEX 2050/2030=0.940068493150685,2030,2050,1.51223723229
Rutovitz 2015,Coal power,Construction,Direct,job-yr/MW,2015,11.2,11.2,Original,,,,,,2015,2015,11.2
Rutovitz 2015,Coal power,Construction,Direct,job-yr/MW,2030,11.2,11.2,Rutovitz Table 9 decline to 2030,Coal,1.0,,,Rutovitz Table 9 Latin America 2030,2015,2030,11.2
Rutovitz 2015,Coal power,Construction,Direct,job-yr/MW,2050,10.76041071869504,10.7604107187,CAPEX/OPEX ratio projection,Coal,,Coal Supercritical,,CAPEX 2050/2030=0.9607509570263428,2030,2050,10.7604107187
Rutovitz 2025,Coal power,Construction,Direct,job-yr/MW,2024,11.08,11.08,Original,,,,,,2024,2024,11.08
Rutovitz 2025,Coal power,Construction,Direct,job-yr/MW,2030,10.947703029857072,10.9477030299,CAPEX/OPEX ratio projection,,,Coal Supercritical,,CAPEX 2030/2024=0.988059840239808,2024,2030,10.9477030299
Rutovitz 2025,Coal power,Construction,Direct,job-yr/MW,2050,10.518016163175375,10.5180161632,CAPEX/OPEX ratio projection,,,Coal Supercritical,,CAPEX 2050/2030=0.9607509570263428,2030,2050,10.5180161632
I-JEDI,Coal power,Construction&Manufacturing,Direct,job-yr/MW,2024,9.61,9.61,Original,,,,,,2024,2024,9.61
I-JEDI,Coal power,Construction&Manufacturing,Direct,job-yr/MW,2030,9.495255064704555,9.4952550647,CAPEX/OPEX ratio projection,,,Coal Supercritical,,CAPEX 2030/2024=0.988059840239808,2024,2030,9.4952550647
